epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.343,0.60566,1.26139,0.94086,0.93237,0.97778,0.97455,0.84989,0.51401,1.80616,0.89664,0.00018,0.00018,0.00018
2,234.23,0.5789,0.67929,0.90947,0.97533,0.97778,0.97499,0.85047,0.53002,0.87338,0.92232,0.000376238,0.000376238,0.000376238
3,326.63,0.57838,0.60537,0.93885,0.96622,0.95347,0.97527,0.83203,0.54881,0.66053,0.93237,0.000568516,0.000568516,0.000568516
4,419.642,0.56526,0.58508,0.90512,0.6511,0.76718,0.69548,0.54302,0.65093,2.8073,1.03717,0.000756834,0.000756834,0.000756834
5,513.254,0.58752,0.55049,0.91983,0.95856,0.94444,0.96664,0.813,0.58987,0.927,0.96929,0.000941192,0.000941192,0.000941192
6,602.203,0.61999,0.51096,0.91193,0.841,0.85556,0.90625,0.67746,0.74087,1.05019,1.24788,0.00112159,0.00112159,0.00112159
7,690.512,0.5773,0.51508,0.9218,0.72262,0.68889,0.77458,0.65676,0.70152,1.3144,1.09818,0.00129803,0.00129803,0.00129803
8,777.577,0.59028,0.5069,0.93053,0.62587,0.44611,0.48859,0.41276,1.06912,3.34917,1.62769,0.00147051,0.00147051,0.00147051
9,866.073,0.58886,0.46329,0.92905,0.29666,0.27778,0.15918,0.12079,1.58091,3.62999,2.14456,0.00163902,0.00163902,0.00163902
10,956.431,0.61124,0.46531,0.92362,0.2264,0.59184,0.26945,0.20782,0.81241,5.00637,1.1382,0.00180358,0.00180358,0.00180358
11,1044.09,0.58209,0.46444,0.91339,0.25789,0.82222,0.29057,0.22873,0.66115,3.04736,1.06051,0.001802,0.001802,0.001802
12,1136.38,0.57799,0.41673,0.91895,0.47443,0.84444,0.47407,0.38338,0.62859,1.58908,0.99213,0.0017822,0.0017822,0.0017822
13,1222.11,0.57373,0.42372,0.92063,0.75402,0.74934,0.72323,0.53744,0.71376,1.25367,1.15549,0.0017624,0.0017624,0.0017624
14,1307,0.57777,0.44109,0.92655,0.9629,0.86509,0.94658,0.78351,0.63086,0.74752,0.98968,0.0017426,0.0017426,0.0017426
15,1391.11,0.52388,0.39871,0.89036,0.8543,0.78889,0.87687,0.66976,0.69876,1.01321,1.04719,0.0017228,0.0017228,0.0017228
16,1470.76,0.5022,0.39199,0.89141,0.84859,0.84444,0.84643,0.67276,0.68125,0.9271,1.01434,0.001703,0.001703,0.001703
17,1554.32,0.53688,0.41587,0.90746,0.81082,0.83333,0.87761,0.75817,0.5679,0.74707,0.96837,0.0016832,0.0016832,0.0016832
18,1637.22,0.52653,0.39549,0.89616,0.86904,0.81107,0.8854,0.75319,0.61421,0.75971,1.04445,0.0016634,0.0016634,0.0016634
19,1722,0.52929,0.37792,0.90465,0.86675,0.92222,0.91709,0.80138,0.51838,0.60079,0.93956,0.0016436,0.0016436,0.0016436
20,1814.07,0.5237,0.38849,0.89758,0.88867,0.94444,0.94687,0.83078,0.50535,0.64705,0.91352,0.0016238,0.0016238,0.0016238
21,1895.67,0.51703,0.36741,0.90613,0.93354,0.93644,0.96051,0.84769,0.45467,0.62931,0.89294,0.001604,0.001604,0.001604
22,1974.61,0.49713,0.37006,0.89034,0.92281,0.92222,0.93834,0.81472,0.50383,0.77573,0.91575,0.0015842,0.0015842,0.0015842
